ts_unix_ms,ts_utc,pump_1_status,pump_1_sp,pump_1_speed,pump_2_status,pump_2_sp,pump_2_speed,pump_3_status,pump_3_sp,pump_3_speed,pump_4_status,pump_4_sp,pump_4_speed,magneticStirrer_bioreactor_status,magneticStirrer_bioreactor_sp,magneticStirrer_bioreactor_speed,magneticStirrer_bioreactor_fan_duty_cycle,magneticStirrer_lagoon_status,magneticStirrer_lagoon_sp,magneticStirrer_lagoon_speed,magneticStirrer_lagoon_fan_duty_cycle,valve_bio2lag_status,valve_sug2lag_status,od_bioreactor_status,od_bioreactor_value,od_lagoon_status,od_lagoon_value,tempCtrl_bioreactor_status,tempCtrl_bioreactor_sp,tempCtrl_bioreactor_value,tempCtrl_bioreactor_heater_duty_cycle,tempCtrl_lagoon_status,tempCtrl_lagoon_sp,tempCtrl_lagoon_value,tempCtrl_lagoon_heater_duty_cycle,phtCount_lagoon_status,phtCount_lagoon_value,phtCount_lagoon_overlight,nucleo_temperature,ntc1_ambient_temp,ntc2_pump1_temp,ntc3_pump2_temp,ntc4_pump3_temp,ntc5_pump4_temp,level_sensor_bioreactor_status,level_sensor_lagoon_status,flow_rate_pump1,flow_rate_pump2,flow_rate_pump3,flow_rate_pump4,sample_row,sample_col,sample_done_flag,Annotations,ts_local
1789563719153,2026-09-16T13:01:59.153797+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2449,0,0.0,1,37.0,36.42,0.03,0,37.0,-179.16,0.0,0,0.0,0,28.0,27.32,62.44,66.73,80.49,97.49,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:01:59.153000+02:00
1789563720153,2026-09-16T13:02:00.153637+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2455,0,0.0,1,37.0,36.42,0.03,0,37.0,-182.12,0.0,0,0.0,0,28.0,27.32,62.42,66.76,80.53,98.48,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:02:00.153000+02:00
1789563721153,2026-09-16T13:02:01.153333+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2446,0,0.0,1,37.0,36.42,0.03,0,37.0,-179.03,0.0,0,0.0,0,28.0,27.31,62.39,66.77,80.52,99.38,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:02:01.153000+02:00
1789563722153,2026-09-16T13:02:02.153174+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2444,0,0.0,1,37.0,36.43,0.03,0,37.0,-187.79,0.0,0,0.0,0,28.0,27.31,62.36,66.74,80.49,98.75,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:02:02.153000+02:00
1789563723153,2026-09-16T13:02:03.153201+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2451,0,0.0,1,37.0,36.43,0.03,0,37.0,-183.08,0.0,0,0.0,0,28.0,27.31,62.4,66.77,80.63,97.62,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:02:03.153000+02:00
1789563724153,2026-09-16T13:02:04.153687+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2444,0,0.0,1,37.0,36.44,0.03,0,37.0,-182.74,0.0,0,0.0,0,28.0,27.31,62.39,66.78,80.68,96.59,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:02:04.153000+02:00
1789563725154,2026-09-16T13:02:05.154212+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2462,0,0.0,1,37.0,36.44,0.03,0,37.0,-181.12,0.0,0,0.0,0,28.0,27.29,62.39,66.8,80.58,97.11,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:02:05.154000+02:00
1789563726153,2026-09-16T13:02:06.153049+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2451,0,0.0,1,37.0,36.44,0.03,0,37.0,-182.87,0.0,0,0.0,0,28.0,27.26,62.38,66.79,80.52,97.16,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:02:06.153000+02:00
1789563727154,2026-09-16T13:02:07.154670+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2453,0,0.0,1,37.0,36.45,0.03,0,37.0,-185.97,0.0,0,0.0,0,28.0,27.24,62.39,66.77,80.48,96.55,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:02:07.154000+02:00
1789563728153,2026-09-16T13:02:08.153708+00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1000.0,0.0,0.34,0,1000.0,0.0,0.34,0,0,1,0.2444,0,0.0,1,37.0,36.44,0.03,0,37.0,-184.37,0.0,0,0.0,0,28.0,27.25,62.38,66.78,80.45,96.39,1,0,0.0,0.0,0.0,0.0,0,0,1,,2026-09-16T15:02:08.153000+02:00
